date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:19	606/606	---MC-	302	error ('Found')	text/html	date:Wed,%2016%20Aug%202023%2009:48:19%20GMT	https://lmpixels.com/robots.txt		(from )
11:48:21	24024/24024	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202019%2012:03:48%20GMT	https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/	/Users/calvinmatonsi/Documents/wedding/wedding%20template/lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/index.html	(from )
11:48:22	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225de8f224-47e%22	https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/favicon.ico	/Users/calvinmatonsi/Documents/wedding/wedding%20template/lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/favicon.ico	(from https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/)
11:48:22	121076/121076	---MCZ	200	added ('OK')	text/css	etag:W/%225de8f226-254bf%22	https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/css/bootstrap.css	/Users/calvinmatonsi/Documents/wedding/wedding%20template/lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/css/bootstrap.css	(from https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/)
11:48:24	2392/2392	---MCZ	200	added ('OK')	text/css	etag:W/%225de8f226-255a%22	https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/css/normalize.css	/Users/calvinmatonsi/Documents/wedding/wedding%20template/lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/css/normalize.css	(from https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/)
11:48:25	2912/2912	---MCZ	200	added ('OK')	text/css	etag:W/%225de8f226-10bd%22	https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/css/owl.carousel.css	/Users/calvinmatonsi/Documents/wedding/wedding%20template/lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/css/owl.carousel.css	(from https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/)
11:48:26	5826/5826	---MCZ	200	added ('OK')	text/css	etag:W/%225de8f226-2008%22	https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/css/magnific-popup.css	/Users/calvinmatonsi/Documents/wedding/wedding%20template/lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/css/magnific-popup.css	(from https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/)
11:48:27	56369/56369	---MCZ	200	added ('OK')	text/css	etag:W/%225de8f226-1274f%22	https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/css/animate.css	/Users/calvinmatonsi/Documents/wedding/wedding%20template/lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/css/animate.css	(from https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/)
11:48:28	15693/15693	---MCZ	200	added ('OK')	text/css	etag:W/%225de8f226-5cd2%22	https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/css/main.css	/Users/calvinmatonsi/Documents/wedding/wedding%20template/lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/css/main.css	(from https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/)
11:48:29	2813/2813	---MCZ	200	added ('OK')	text/css	etag:W/%225de8f224-e4c%22	https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/preview/lmpixels-demo-panel.css	/Users/calvinmatonsi/Documents/wedding/wedding%20template/lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/preview/lmpixels-demo-panel.css	(from https://lmpixels.com/demo/ourlove/our-love-responsive-wedding-template-cyan/)
